PIN,Property_Address,Tax_Year,Property_Class,Census_Tract,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Full_Baths,Half_Baths,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Walkscore,Walkfac,Sale_Price
8124170000000,613 S SCHOOL ST MOUNT PROSPECT,2018,203,804901.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1461.0,8712.0,60.0,-87.93069124,42.05418397,49.0,Car-Dependent,298000
13113220261025,7101 N CICERO STE 100,2003,299,140301.0,,,,,,,,,,,,-87.7476139,42.0103412,48.0,Car-Dependent,171000
6352050000000,602  MAPLE DR STREAMWOOD,2018,278,804509.0,2.0,8.0,4.0,3.0,0.0,1.0,2.0,1.0,2224.0,8316.0,19.0,-88.16832198,42.00209622,15.0,Car-Dependent,255000
27174070330000,10626 DANI LN,2014,295,824114.0,2-story,5.0,3.0,Partial basement,1.0,Yes,2.0,1.0,1817.0,1399.0,7.0,-87.87827800000001,41.604719,29.0,Car-Dependent,254900
14312140120000,1507 SUNSET RIDGE RD,2003,211,832300.0,3-story,18.0,6.0,Full basement,0.0,No,6.0,0.0,4604.0,3000.0,122.0,-87.7896099,42.1249187,11.0,Car-Dependent,715000
13102000261140,5320 N LOWELL,2013,299,130200.0,,,,,,,,,,,,-87.7374437,41.9779307,37.0,Car-Dependent,208000
8241020000000,1101  HOLIDAY LN DES PLAINES,2018,299,805111.0,,,,,,,1.0,,,405710.0,10.0,-87.93752311,42.03255192,66.0,Somewhat Walkable,20000
5313050000000,919 E GLENWOOD RD GLENVIEW,2018,204,801400.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1957.0,20500.0,67.0,-87.76311604,42.07116468,18.0,Car-Dependent,425000
13323100050000,1747 N MERRIMAC AVE,2015,203,250400.0,?,6.0,3.0,Full basement,0.0,No,1.0,1.0,1520.0,3937.0,90.0,-87.7810411,41.912330600000004,73.0,Very Walkable,285000
20282090030000,5519 S MARSHFIELD,2007,211,691100.0,2-story,11.0,5.0,Full basement,2.0,No,2.0,0.0,2720.0,3810.0,100.0,-87.6654145,41.7930168,69.0,Somewhat Walkable,300000
12232200210000,3758 N PARIS,2003,202,170500.0,1-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,904.0,3720.0,57.0,-87.830712,41.9484196,47.0,Car-Dependent,226000
15341180640000,9542 W MONROE,2010,203,818800.0,1-story,5.0,3.0,crawlspace,0.0,No,1.0,0.0,1033.0,6250.0,58.0,-87.8609794,41.8293439,55.0,Somewhat Walkable,178000
15343180050000,3717 CLEVELAND AV,2003,202,818800.0,?,5.0,3.0,Full basement,0.0,Yes,1.0,1.0,1223.0,7500.0,62.0,-87.85840909999999,41.8230864,50.0,Car-Dependent,212500
9284030000000,2207 S SCOTT ST DES PLAINES,2018,203,806502.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1484.0,6411.0,54.0,-87.87433471,42.01341183,47.0,Car-Dependent,250000
